accuracy,auc,loss,precision,accuracy_3,precision_3,recall_3,f1_3,accuracy_5,precision_5,recall_5,f1_5,accuracy_7,precision_7,recall_7,f1_7,duration
0.250401, 0.423876, 0.730992, 0.236466, 0.240516, 0.240516, 1.000000, 0.387767, 0.250401, 0.236466, 0.949618, 0.378645, 0.759484, nan, 0.000000, nan, 35
0.759484, 0.596931, 0.546245, nan, 0.759484, nan, 0.000000, nan, 0.759484, nan, 0.000000, nan, 0.759484, nan, 0.000000, nan, 35
0.759484, 0.639039, 0.533471, nan, 0.718360, 0.402142, 0.351325, 0.375020, 0.759484, nan, 0.000000, nan, 0.759484, nan, 0.000000, nan, 36
0.766596, 0.642688, 0.521041, 0.713514, 0.723077, 0.410420, 0.346758, 0.375913, 0.766596, 0.713514, 0.049409, 0.092418, 0.759484, nan, 0.000000, nan, 36
0.769873, 0.646674, 0.518510, 0.680200, 0.725904, 0.416689, 0.349154, 0.379944, 0.769873, 0.680200, 0.081524, 0.145598, 0.759952, 1.000000, 0.001946, 0.003885, 35
0.770630, 0.651544, 0.516382, 0.722182, 0.744936, 0.455389, 0.308729, 0.367984, 0.770630, 0.722182, 0.075311, 0.136398, 0.760691, 1.000000, 0.005016, 0.009981, 35
0.772106, 0.654048, 0.514411, 0.704373, 0.735663, 0.437823, 0.348705, 0.388215, 0.772106, 0.704373, 0.090433, 0.160287, 0.762473, 0.923469, 0.013550, 0.026708, 36
0.773312, 0.654355, 0.513858, 0.687683, 0.737248, 0.439949, 0.338673, 0.382725, 0.773312, 0.687683, 0.105330, 0.182680, 0.763716, 0.885246, 0.020213, 0.039523, 35
0.773889, 0.655617, 0.512907, 0.721484, 0.741587, 0.449727, 0.332834, 0.382550, 0.773889, 0.721484, 0.097545, 0.171854, 0.764058, 0.901899, 0.021336, 0.041685, 35
0.773781, 0.656598, 0.512402, 0.724294, 0.747439, 0.463310, 0.316215, 0.375884, 0.773781, 0.724294, 0.095972, 0.169487, 0.764796, 0.908587, 0.024555, 0.047817, 36
0.775113, 0.658703, 0.511214, 0.701673, 0.736780, 0.441550, 0.356565, 0.394533, 0.775113, 0.701673, 0.113041, 0.194713, 0.765714, 0.915865, 0.028522, 0.055322, 40
0.775941, 0.659469, 0.510334, 0.698523, 0.736185, 0.441310, 0.364201, 0.399065, 0.775941, 0.698523, 0.120377, 0.205364, 0.767515, 0.893993, 0.037880, 0.072680, 40
0.775203, 0.661950, 0.510362, 0.786605, 0.753002, 0.479471, 0.314718, 0.380005, 0.775203, 0.786605, 0.089684, 0.161011, 0.765516, 0.926209, 0.027250, 0.052942, 40
0.775581, 0.659997, 0.511487, 0.660445, 0.716452, 0.411534, 0.416155, 0.413832, 0.775581, 0.660445, 0.137745, 0.227948, 0.770053, 0.874840, 0.051280, 0.096881, 40
0.776211, 0.661875, 0.509663, 0.739310, 0.750212, 0.471506, 0.318985, 0.380531, 0.776211, 0.739310, 0.107426, 0.187594, 0.767137, 0.925852, 0.034586, 0.066681, 40
0.777076, 0.663971, 0.508842, 0.666326, 0.719386, 0.416234, 0.414209, 0.415219, 0.777076, 0.666326, 0.146504, 0.240196, 0.768937, 0.891207, 0.044767, 0.085252, 40
0.776283, 0.664818, 0.508626, 0.666667, 0.718054, 0.415124, 0.421246, 0.418162, 0.776283, 0.666667, 0.139692, 0.230983, 0.769999, 0.879221, 0.050681, 0.095838, 40
0.776860, 0.664519, 0.507599, 0.724314, 0.743784, 0.457744, 0.353571, 0.398969, 0.776860, 0.724314, 0.116634, 0.200916, 0.768739, 0.895385, 0.043569, 0.083095, 40
0.776139, 0.663542, 0.508410, 0.653400, 0.726318, 0.426672, 0.401183, 0.413535, 0.776139, 0.653400, 0.147477, 0.240640, 0.771476, 0.852754, 0.060264, 0.112572, 40
0.775437, 0.665007, 0.507787, 0.728115, 0.745026, 0.460054, 0.346160, 0.395062, 0.775437, 0.728115, 0.105854, 0.184837, 0.767515, 0.908425, 0.037131, 0.071346, 40
0.776409, 0.664037, 0.508045, 0.665960, 0.728929, 0.430763, 0.395194, 0.412213, 0.776409, 0.665960, 0.141189, 0.232983, 0.771566, 0.863489, 0.059665, 0.111617, 40
